key,input,LogP
GMRQFYUYWCNGIN-NKMMMXOESA-N,C[C@H](CCCC(C)(C)O)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)C[C@H](O)C3=C,5.427056
FAQLAUHZSGTTLN-UHFFFAOYSA-N,[CaH2],-0.25633985
KVUAALJSMIVURS-ZEDZUCNESA-L,[Ca++].NC1=NC(=O)C2=C(NCC(CNc3ccc(cc3)C(=O)N[C@@H](CCC([O-])=O)C([O-])=O)N2C=O)N1,-1.9057395
NEEHYRZPVYRGPP-IYEMJOQQSA-L,[Ca++].OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O.OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C([O-])=O,-2.7157738
XTNGUQKDFGDXSJ-ZXGKGEBGSA-N,[H][C@]1(O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(C)C(CC2=CC=C(S2)C2=CC=C(F)C=C2)=C1,2.816784
GAGWJHPBXLXJQN-UORFTKCHSA-N,CCCCCOC(=O)NC1=NC(=O)N(C=C1F)[C@@H]2O[C@H](C)[C@@H](O)[C@H]2O,0.24199173
AIXAANGOTKPUOY-UHFFFAOYSA-N,[Cl-].C[N+](C)(C)CCOC(N)=O,-3.2739692
FFGPTBGBLSHEPO-UHFFFAOYSA-N,NC(=O)N1c2ccccc2C=Cc3ccccc13,3.0584092
SMMBGKXBHJTULT-DTRKZRJBSA-N,CC[C@H](C)[C@@H]1NC(=O)[C@H](Cc2ccc(O)cc2)N(C)C(=O)CCCSC[C@H](NC(=O)[C@H](CC(N)=O)NC(=O)[C@H](CCC(N)=O)NC1=O)C(=O)N3CCC[C@H]3C(=O)N[C@@H](CC(C)C)C(=O)NCC(N)=O,0.5714203
TZFNLOMSOLWIDK-JTQLQIEISA-N,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(O)=O,-2.5511143
CFOYWRHIYXMDOT-UHFFFAOYSA-N,CCOC(=O)N1C=CN(C)C1=S,-0.15140027
OGHNVEJMJSYVRP-UHFFFAOYSA-N,COc1ccccc1OCCNCC(O)COc2cccc3[nH]c4ccccc4c23,3.7091777
AHIZXSGLMAMETL-LQZKFGBMSA-N,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@H](O)[C@@H](O)c4ccc(O)cc4)[C@H](O)CCN,0.5224786
ZAIPMKNFIOOWCQ-UEKVPHQBSA-N,CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)c3ccccc3)C2=O)C(O)=O,0.16636148
FLKYBGKDCCEQQM-WYUVZMMLSA-M,[Na+].Cc1sc(SCC2=C(N3[C@H](SC2)[C@H](NC(=O)Cn4cnnn4)C3=O)C([O-])=O)nn1,-0.41462505
DBPPRLRVDVJOCL-FQRUVTKNSA-N,[H][C@]12SCC(C[N+]3(CCNC(=O)C4=C(Cl)C(O)=C(O)C=C4)CCCC3)=C(N1C(=O)[C@H]2NC(=O)C(=N/OC(C)(C)C(O)=O)\C1=CSC(N)=N1)C([O-])=O,-0.11189115
OKBVVJOGVLARMR-QSWIMTSFSA-N,Nc1scc(n1)\C(=N\OCC(O)=O)C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(O)=O)C=C,-0.8906926
AZZMGZXNTDTSME-XJTDMATHSA-M,[Na+].CO\N=C(C(=O)N[C@@H]1[C@@H]2SCC(=C(N2C1=O)C([O-])=O)COC(C)=O)\c3csc(N)n3,0.7143129
ORFOPKXBNMVMKC-DWVKKRMSSA-N,CC(C)(O/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C([O-])=O)C[n+]3ccccc3)/c4csc(N)n4)C(O)=O,-0.3104224
VAAUVRVFOQPIGI-SPQHTLEESA-N,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)CSC3=NC(=O)C(=O)NN3C)/c4csc(N)n4,-0.32965544
JFPVXVDWJQMJEE-IZRZKJBUSA-N,CO/N=C(C(=O)N[C@H]1[C@H]2SCC(=C(N2C1=O)C(O)=O)COC(N)=O)/c3occc3,-0.23263091
ZKLPARSLTMPFCP-UHFFFAOYSA-N,OC(=O)COCCN1CCN(CC1)C(c2ccccc2)c3ccc(Cl)cc3,2.3767486
WIIZWVCIJKGZOK-UHFFFAOYSA-N,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,1.1321657
GHXZTYHSJHQHIJ-UHFFFAOYSA-N,NC(Nc1ccc(Cl)cc1)=NC(N)=NCCCCCCN=C(N)N=C(N)Nc2ccc(Cl)cc2,1.4204292
JBMKAUGHUNFTOL-UHFFFAOYSA-N,N[S](=O)(=O)c1cc2c(NC=N[S]2(=O)=O)cc1Cl,0.09665486
XBBCPPPRFJXONF-UHFFFAOYSA-N,Cc1ccc(Cl)c(O)c1C,3.155761
ZPEIMTDSQAKGNT-UHFFFAOYSA-N,CN(C)CCCN1c2ccccc2Sc3ccc(Cl)cc13,5.3427625
