key,input,probability
LQOLIRLGBULYKD-JKIFEVAISA-N,Cc1onc(c2ccccc2Cl)c1C(=O)N[C@H]3[C@H]4SC(C)(C)[C@@H](N4C3=O)C(O)=O,0.34861920492110865
ZUXABONWMNSFBN-UHFFFAOYSA-N,CN1CCN(CC1)C2=C3C=CC=CC3=Nc4ccc(Cl)cc4N2,0.0734444112633387
OROGSEYTTFOCAN-DNJOTXNNSA-N,COc1ccc2C[C@@H]3[C@@H]4C=C[C@H](O)[C@@H]5Oc1c2[C@]45CCN3C,0.10333629908809318
QYSXJUFSXHHAJI-YRZJJWOYSA-N,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2\C(CCC[C@]12C)=C\C=C3\C[C@@H](O)CCC3=C,0.0965888190268532
UVKZSORBKUEBAZ-UHFFFAOYSA-N,CN1CCN(CC1)C(c2ccccc2)c3ccccc3,0.07839796539531389
SKYSRIRYMSLOIN-UHFFFAOYSA-N,CN(C)CCOC(=O)C(c1ccccc1)C2(O)CCCC2,0.08805872207025567
DYDCUQKUCUHJBH-UHFFFAOYSA-N,NC1CONC1=O,0.06946042980902607
UHDGCWIWMRVCDJ-CCXZUQQUSA-N,NC1=NC(=O)N(C=C1)[C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O,0.12048546254525891
YBSJFWOBGCMAKL-UHFFFAOYSA-N,Cn1c(CNc2ccc(cc2)C(N)=N)nc3cc(ccc13)C(=O)N(CCC(O)=O)c4ccccn4,0.12248970416042759
OMJKFYKNWZZKTK-UXBLZVDNSA-N,CN(C)N\N=C/1N=CN=C1C(N)=O,0.11768156270374878
RJURFGZVJUQBHK-UHFFFAOYSA-N,CC(C)C1NC(=O)C(NC(=O)c2ccc(C)c3OC4=C(C)C(=O)C(=C(C(=O)NC5C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C6CCCN6C(=O)C(NC5=O)C(C)C)C4=Nc23)N)C(C)OC(=O)C(C(C)C)N(C)C(=O)CN(C)C(=O)C7CCCN7C1=O,0.23180603702303923
JVHXJTBJCFBINQ-ADAARDCZSA-N,CCOC1=CC=C(CC2=C(Cl)C=CC(=C2)[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C1,0.10646924543260707
MQJKPEGWNLWLTK-UHFFFAOYSA-N,Nc1ccc(cc1)[S](=O)(=O)c2ccc(N)cc2,0.08559637132684805
CJBJHOAVZSMMDJ-HEXNFIEUSA-N,CC(C)CN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)O[C@H]2CO[C@H]3OCC[C@@H]23)[S](=O)(=O)c4ccc(N)cc4,0.14181022502429966
NBRBXGKOEOGLOI-UHFFFAOYSA-N,COC1=C(C=C(C=C1C1=CC2=CC=C(NS(C)(=O)=O)C=C2C=C1)N1C=CC(=O)NC1=O)C(C)(C)C,0.1546974681408877
ZBNZXTGUTAYRHI-UHFFFAOYSA-N,Cc1nc(Nc2sc(cn2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4,0.1493771596161382
STQGQHZAVUOBTE-VGBVRHCVSA-N,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(C)=O,0.21707119733555313
FMSOAWSKCWYLBB-VBGLAJCLSA-N,OC(=O)c1ccc(cc1)N\2N\C(NC2=C\3C=CC=CC3=O)=C/4C=CC=CC4=O,0.11536951715411398
UBQYURCVBFRUQT-UHFFFAOYSA-N,CC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCNC(=O)CCC(=O)N(O)CCCCCN,0.13515194769082653
XDAOLTSRNUSPPH-XMMPIXPASA-N,C[C@]1(COC2=CC=C(C=C2)N2CCC(CC2)OC2=CC=C(OC(F)(F)F)C=C2)CN2C=C(N=C2O1)[N+]([O-])=O,0.9267689565482653
